sportmonks_fixture_id,bookmaker,market,label,selection_name,odds,implied_probability,timestamp,finished,league_id,season_id,mapping_confidence,reason
19609143,Bet365,Away Anytime Goal Scorer,Anytime,Ahmadou Dieng,4.75,0.210526,,True,732,,UNMAPPED,no_match
19609143,Bet365,Away Anytime Goal Scorer,Anytime,Moustapha Mbow,19.0,0.052632,,True,732,,UNMAPPED,no_match
19609143,Bet365,Away First Goal Scorer,First,Ahmadou Dieng,13.0,0.076923,,True,732,,UNMAPPED,no_match
19609143,Bet365,Away First Goal Scorer,First,Moustapha Mbow,51.0,0.019608,,True,732,,UNMAPPED,no_match
19609143,Bet365,Away Last Goal Scorer,Last,Ahmadou Dieng,13.0,0.076923,,True,732,,UNMAPPED,no_match
19609143,Bet365,Away Last Goal Scorer,Last,Moustapha Mbow,51.0,0.019608,,True,732,,UNMAPPED,no_match
19609143,Bet365,Home Anytime Goal Scorer,Anytime,Kouadio Kone,7.5,0.133333,,True,732,,UNMAPPED,no_match
19609143,Bet365,Home First Goal Scorer,First,Kouadio Kone,21.0,0.047619,,True,732,,UNMAPPED,no_match
19609143,Bet365,Home Last Goal Scorer,Last,Kouadio Kone,21.0,0.047619,,True,732,,UNMAPPED,no_match
19609143,Betano,Away Anytime Goal Scorer,Anytime,Mamadou Mbow,40.0,0.025,,True,732,,UNMAPPED,no_match
19609143,Betano,Away First Goal Scorer,First,Mamadou Mbow,65.0,0.015385,,True,732,,UNMAPPED,no_match
19609143,Betano,Away Last Goal Scorer,Last,Mamadou Mbow,70.0,0.014286,,True,732,,UNMAPPED,no_match
19609163,Bet365,Anytime Goal Scorer,Anytime,Fredrik Andre Bjorkan,7.5,0.133333,,True,732,,UNMAPPED,no_match
19609163,Bet365,Anytime Goal Scorer,Anytime,Ahmed Maknzi,26.0,0.038462,,True,732,,UNMAPPED,no_match
19609163,Bet365,Anytime Goal Scorer,Anytime,Ali Kadhim,6.0,0.166667,,True,732,,UNMAPPED,no_match
19609163,Bet365,Anytime Goal Scorer,Anytime,Ahmed Yahya,29.0,0.034483,,True,732,,UNMAPPED,no_match
19609163,Bet365,First Goal Scorer,First,Fredrik Andre Bjorkan,21.0,0.047619,,True,732,,UNMAPPED,no_match
19609163,Bet365,First Goal Scorer,First,Ahmed Maknzi,81.0,0.012346,,True,732,,UNMAPPED,no_match
19609163,Bet365,First Goal Scorer,First,Ali Kadhim,17.0,0.058824,,True,732,,UNMAPPED,no_match
19609163,Bet365,First Goal Scorer,First,Ahmed Yahya,101.0,0.009901,,True,732,,UNMAPPED,no_match
19609163,Bet365,Last Goal Scorer,Last,Fredrik Andre Bjorkan,21.0,0.047619,,True,732,,UNMAPPED,no_match
19609163,Bet365,Last Goal Scorer,Last,Ahmed Maknzi,81.0,0.012346,,True,732,,UNMAPPED,no_match
19609163,Bet365,Last Goal Scorer,Last,Ali Kadhim,17.0,0.058824,,True,732,,UNMAPPED,no_match
19609163,Bet365,Last Goal Scorer,Last,Ahmed Yahya,101.0,0.009901,,True,732,,UNMAPPED,no_match
19609163,Bet365,Away Anytime Goal Scorer,Anytime,Fredrik Andre Bjorkan,7.5,0.133333,,True,732,,UNMAPPED,no_match
19609163,Bet365,Away First Goal Scorer,First,Fredrik Andre Bjorkan,21.0,0.047619,,True,732,,UNMAPPED,no_match
19609163,Bet365,Away Last Goal Scorer,Last,Fredrik Andre Bjorkan,21.0,0.047619,,True,732,,UNMAPPED,no_match
19609163,Bet365,Home Anytime Goal Scorer,Anytime,Ahmed Maknzi,26.0,0.038462,,True,732,,UNMAPPED,no_match
19609163,Bet365,Home Anytime Goal Scorer,Anytime,Ali Kadhim,6.0,0.166667,,True,732,,UNMAPPED,no_match
19609163,Bet365,Home Anytime Goal Scorer,Anytime,Ahmed Yahya,29.0,0.034483,,True,732,,UNMAPPED,no_match
19609163,Bet365,Home First Goal Scorer,First,Ahmed Maknzi,81.0,0.012346,,True,732,,UNMAPPED,no_match
19609163,Bet365,Home First Goal Scorer,First,Ali Kadhim,17.0,0.058824,,True,732,,UNMAPPED,no_match
19609163,Bet365,Home First Goal Scorer,First,Ahmed Yahya,101.0,0.009901,,True,732,,UNMAPPED,no_match
19609163,Bet365,Home Last Goal Scorer,Last,Ahmed Maknzi,81.0,0.012346,,True,732,,UNMAPPED,no_match
19609163,Bet365,Home Last Goal Scorer,Last,Ali Kadhim,17.0,0.058824,,True,732,,UNMAPPED,no_match
19609163,Bet365,Home Last Goal Scorer,Last,Ahmed Yahya,101.0,0.009901,,True,732,,UNMAPPED,no_match
19609163,Betano,Away Anytime Goal Scorer,Anytime,Fredrik Andre Bjorkan,9.0,0.111111,,True,732,,UNMAPPED,no_match
19609163,Betano,Away Anytime Goal Scorer,Anytime,Leo Skiri Ostigard,13.0,0.076923,,True,732,,UNMAPPED,no_match
19609163,Betano,Away First Goal Scorer,First,Fredrik Andre Bjorkan,19.5,0.051282,,True,732,,UNMAPPED,no_match
19609163,Betano,Away First Goal Scorer,First,Leo Skiri Ostigard,27.0,0.037037,,True,732,,UNMAPPED,no_match
19609163,Betano,Away Last Goal Scorer,Last,Fredrik Andre Bjorkan,20.0,0.05,,True,732,,UNMAPPED,no_match
19609163,Betano,Away Last Goal Scorer,Last,Leo Skiri Ostigard,28.0,0.035714,,True,732,,UNMAPPED,no_match
19609163,Betano,Home Anytime Goal Scorer,Anytime,Meme,6.0,0.166667,,True,732,,UNMAPPED,no_match
19609163,Betano,Home Anytime Goal Scorer,Anytime,Ahmed Yahya,14.5,0.068966,,True,732,,UNMAPPED,no_match
19609163,Betano,Home First Goal Scorer,First,Meme,13.0,0.076923,,True,732,,UNMAPPED,no_match
19609163,Betano,Home First Goal Scorer,First,Ahmed Yahya,40.0,0.025,,True,732,,UNMAPPED,no_match
19609163,Betano,Home Last Goal Scorer,Last,Meme,13.5,0.074074,,True,732,,UNMAPPED,no_match
19609163,Betano,Home Last Goal Scorer,Last,Ahmed Yahya,45.0,0.022222,,True,732,,UNMAPPED,no_match
