sportmonks_fixture_id,player_id,player_name,selection_name,market,bookmaker,odds,implied_probability,mapping_confidence,mapping_method,mapping_score,label,timestamp,finished
19135820,85866,Andreas Poulsen,Andreas Poulsen,Team Goalscorer,bet365,12.0,0.083333,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,32796136,Pedro Ganchas,Pedro Ganchas,Team Goalscorer,bet365,13.0,0.076923,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,10290773,Pontus Rödin,Pontus Rodin,Team Goalscorer,bet365,13.0,0.076923,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,37260000,Oliver Sonne,Oliver Sonne,Team Goalscorer,bet365,15.0,0.066667,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,37509472,Robin Østrøm,Robin Ostrom,Team Goalscorer,bet365,17.0,0.058824,MEDIUM,fuzzy_medium,0.8696,First,2024-08-01 17:10:04,True
19135820,24818234,Alexander Lind,Alexander Lind,Team Goalscorer,bet365,3.75,0.266667,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,37561087,Tonni Adamsen,Tonni Adamsen,Team Goalscorer,bet365,3.75,0.266667,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,5283385,Mads Larsen,Mads Larsen,Team Goalscorer,bet365,6.5,0.153846,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,538359,Ramazan Orazov,Ramazan Orazov,Team Goalscorer,bet365,6.5,0.153846,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,85866,Andreas Poulsen,Andreas Poulsen,Team Goalscorer,bet365,12.0,0.083333,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,5283802,Emil Breivik,Emil Breivik,Team Goalscorer,bet365,7.0,0.142857,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,2875,Mats Møller Dæhli,Mats Moller Daehli,Team Goalscorer,bet365,7.0,0.142857,MEDIUM,fuzzy_medium,0.8571,First,2024-08-01 17:10:04,True
19135820,152914,Halldor Stenevik,Halldor Stenevik,Team Goalscorer,bet365,9.5,0.105263,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,37336215,Mathias Løvik,Mathias Lovik,Team Goalscorer,bet365,9.5,0.105263,MEDIUM,fuzzy_high,0.9231,Last,2024-08-01 17:10:04,True
19135820,31616631,Casper Öyvann,Casper Oyvann,Team Goalscorer,bet365,19.0,0.052632,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,150876,Martin Bjørnbak,Martin Bjornbak,Team Goalscorer,bet365,21.0,0.047619,MEDIUM,fuzzy_high,0.9333,Last,2024-08-01 17:10:04,True
19135820,2876,Magnus Wolff Eikrem,Magnus Wolff Eikrem,Team Goalscorer,bet365,4.5,0.222222,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,37658179,Gustav Nyheim,Gustav Nyheim,Team Goalscorer,bet365,5.0,0.2,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
