symbol,side,opened_at,closed_at,lot,pnl,close_reason,loss_streak_after
USDJPY,BUY,2026-04-02T08:37:00.231000,2026-04-02T08:37:40.072000,0.01,0.02505088460948238,time_exit,0
USDJPY,BUY,2026-04-02T08:38:04.651000,2026-04-02T08:38:35.711000,0.01,-0.05010114167982726,time_exit,1
USDJPY,BUY,2026-04-02T08:39:02.533000,2026-04-02T08:39:34.285000,0.02,-0.26305405760867057,time_exit,2
USDJPY,BUY,2026-04-02T08:40:00.528000,2026-04-02T08:40:33.838000,0.04,0.4321243082317436,time_exit,0
USDJPY,BUY,2026-04-02T08:41:02.111000,2026-04-02T08:41:34.566000,0.01,-0.006262407394680554,time_exit,1
USDJPY,BUY,2026-04-02T08:42:00.879000,2026-04-02T08:42:30.940000,0.02,-0.1628348291174381,time_exit,2
USDJPY,BUY,2026-04-02T08:43:00.168000,2026-04-02T08:43:31.561000,0.04,0.02505166906685923,time_exit,0
USDJPY,BUY,2026-04-02T08:44:00.528000,2026-04-02T08:44:33.531000,0.01,0.012525363861701997,time_exit,0
USDJPY,BUY,2026-04-02T08:45:00.180000,2026-04-02T08:45:33.260000,0.01,-0.037575385617396324,time_exit,1
USDJPY,BUY,2026-04-02T08:46:01.227000,2026-04-02T08:46:33.234000,0.02,-0.20042339442060267,time_exit,2
USDJPY,BUY,2026-04-02T08:48:00.201000,2026-04-02T08:48:39.329000,0.04,-0.3006426236079735,time_exit,3
USDJPY,BUY,2026-04-02T08:49:03.887000,2026-04-02T08:49:26.782000,0.08,-1.2789149217391798,stop_loss,3
USDJPY,BUY,2026-04-02T08:56:01.156000,2026-04-02T08:56:32.295000,0.08,-0.25050100200378017,time_exit,3
USDJPY,BUY,2026-04-02T08:57:00.565000,2026-04-02T08:57:26.163000,0.08,0.42581546794516845,stop_loss,0
USDJPY,BUY,2026-04-02T08:58:00.581000,2026-04-02T08:58:34.418000,0.01,0.0,time_exit,0
USDJPY,BUY,2026-04-02T08:59:00.237000,2026-04-02T08:59:33.248000,0.01,-0.05010114167982726,time_exit,1
USDJPY,BUY,2026-04-02T09:00:00.602000,2026-04-02T09:00:31.528000,0.02,-0.15030813166992907,time_exit,2
USDJPY,BUY,2026-04-02T09:04:00.563000,2026-04-02T09:04:31.180000,0.04,0.050099572900668285,time_exit,0
USDJPY,BUY,2026-04-02T09:05:00.085000,2026-04-02T09:05:31.855000,0.01,0.05009392611134224,time_exit,0
USDJPY,BUY,2026-04-02T09:06:04.542000,2026-04-02T09:06:43.083000,0.01,0.043834106692247014,time_exit,0
